Symbol,Company Name,Market Cap,% Change,Volume,Revenue
LIN,Linde plc,216.56B,0.13%,2399076,33.03B
BHP,BHP Group Limited,127.36B,2.13%,2003783,56.03B
RIO,Rio Tinto Group,103.35B,2.26%,2672416,54.18B
SHW,The Sherwin-Williams Company,89.75B,-0.01%,1782966,23.10B
APD,"Air Products and Chemicals, Inc.",74.65B,-0.71%,1217604,12.10B
SCCO,Southern Copper Corporation,73.71B,3.70%,1176313,10.94B
ECL,Ecolab Inc.,70.46B,-0.27%,1253228,15.67B
CRH,CRH plc,66.74B,1.30%,2347865,35.39B
FCX,Freeport-McMoRan Inc.,52.42B,1.73%,14489742,25.46B
NEM,Newmont Corporation,48.85B,0.53%,5381393,16.99B
AEM,Agnico Eagle Mines Limited,47.87B,0.77%,2440694,7.82B
CTVA,"Corteva, Inc.",45.16B,1.69%,3465034,16.64B
VALE,Vale S.A.,40.02B,0.75%,38960050,38.77B
VMC,Vulcan Materials Company,35.93B,0.34%,397215,7.40B
MLM,"Martin Marietta Materials, Inc.",32.84B,0.25%,408837,6.51B
DD,"DuPont de Nemours, Inc.",32.18B,1.21%,2141622,12.19B
NUE,Nucor Corporation,30.72B,-0.37%,2573146,30.73B
GOLD,Barrick Gold Corporation,29.17B,0.72%,19120128,12.34B
WPM,Wheaton Precious Metals Corp.,29.04B,0.72%,1175983,1.22B
DOW,Dow Inc.,27.13B,3.13%,8030074,42.96B
FNV,Franco-Nevada Corporation,26.51B,0.42%,625447,1.09B
NTR,Nutrien Ltd.,26.11B,3.73%,1844431,25.56B
PPG,"PPG Industries, Inc.",25.78B,-0.64%,1830712,15.85B
LYB,LyondellBasell Industries N.V.,25.38B,2.54%,3235326,40.73B
IFF,International Flavors & Fragrances Inc.,21.89B,-0.90%,1505340,11.42B
TECK,Teck Resources Limited,21.46B,4.64%,3143107,12.33B
MT,ArcelorMittal S.A.,19.74B,3.08%,1717462,62.28B
STLD,"Steel Dynamics, Inc.",19.24B,-1.20%,1859857,17.54B
CF,"CF Industries Holdings, Inc.",16.37B,1.75%,981620,5.98B
GFI,Gold Fields Limited,15.74B,1.32%,2066993,4.36B
RPM,RPM International Inc.,15.73B,0.72%,556505,7.35B
AU,AngloGold Ashanti plc,15.54B,-1.09%,1598720,5.30B
RS,"Reliance, Inc.",15.25B,-1.45%,399681,14.05B
WLK,Westlake Corporation,14.32B,0.60%,494427,12.13B
JHX,James Hardie Industries plc,14.13B,0.95%,42407,3.94B
KGC,Kinross Gold Corporation,14.11B,0.17%,21913692,4.85B
SUZ,Suzano S.A.,12.89B,-3.32%,3058614,8.01B
PKX,POSCO Holdings Inc.,12.56B,0.48%,185312,49.20B
EMN,Eastman Chemical Company,11.72B,0.99%,1624070,9.38B
SQM,Sociedad Química y Minera de Chile S.A.,11.43B,2.93%,471407,4.77B
ALB,Albemarle Corporation,9.69B,2.52%,2059155,6.50B
AA,Alcoa Corporation,9.36B,6.24%,5331009,11.90B
RGLD,"Royal Gold, Inc.",9.34B,0.80%,468669,662.59M
SUM,"Summit Materials, Inc.",9.20B,-,1166861,3.75B
AGI,Alamos Gold Inc.,9.03B,0.51%,1557918,1.23B
MOS,The Mosaic Company,8.96B,4.25%,2777046,11.46B
CX,"CEMEX, S.A.B. de C.V.",8.86B,0.83%,6532466,17.25B
PAAS,Pan American Silver Corp.,8.82B,1.43%,2616748,2.67B
X,United States Steel Corporation,8.51B,3.73%,2398948,15.64B
EXP,Eagle Materials Inc.,8.43B,-0.20%,197084,2.27B
AXTA,Axalta Coating Systems Ltd.,8.29B,8.26%,4332906,5.28B
CE,Celanese Corporation,7.80B,3.78%,2505954,10.48B
ICL,ICL Group Ltd,7.76B,2.91%,487264,6.93B
HMY,Harmony Gold Mining Company Limited,7.37B,0.42%,7214029,3.36B
UFPI,"UFP Industries, Inc.",7.04B,0.60%,282402,6.71B
SSD,"Simpson Manufacturing Co., Inc.",6.97B,-0.35%,195640,2.22B
WFG,West Fraser Timber Co. Ltd.,6.78B,0.37%,193101,6.28B
FMC,FMC Corporation,6.75B,-1.60%,3536210,4.25B
ALTM,Arcadium Lithium plc,6.18B,0.70%,5797546,900.60M
ESI,Element Solutions Inc,6.14B,1.32%,1158578,2.41B
TX,Ternium S.A.,5.98B,-0.91%,181065,18.70B
GGB,Gerdau S.A.,5.87B,-0.68%,4465344,11.92B
KNF,Knife River Corporation,5.79B,-0.05%,199488,2.89B
CMC,Commercial Metals Company,5.45B,0.63%,624288,7.83B
BCPC,Balchem Corporation,5.31B,1.55%,87252,942.38M
CLF,Cleveland-Cliffs Inc.,5.20B,8.01%,13610024,19.97B
NEU,NewMarket Corporation,4.85B,5.01%,38285,2.79B
BCC,Boise Cascade Company,4.82B,0.34%,98511,6.80B
CBT,Cabot Corporation,4.78B,3.91%,614153,3.99B
SMG,The Scotts Miracle-Gro Company,4.00B,0.55%,511340,3.56B
MP,MP Materials Corp.,3.99B,10.08%,8821607,184.07M
SIM,"Grupo Simec, S.A.B. de C.V.",3.99B,17.20%,2132,1.71B
AVNT,Avient Corporation,3.94B,1.99%,436126,3.21B
HL,Hecla Mining Company,3.69B,2.08%,21146857,840.96M
IAG,IAMGOLD Corporation,3.64B,-1.09%,10999333,1.46B
OR,Osisko Gold Royalties Ltd,3.62B,3.80%,494774,183.59M
MEOH,Methanex Corporation,3.61B,2.94%,390245,3.72B
TGLS,Tecnoglass Inc.,3.56B,0.74%,198695,845.21M
HBM,Hudbay Minerals Inc.,3.40B,5.36%,2943655,2.04B
FUL,H.B. Fuller Company,3.35B,-0.47%,374700,3.57B
TFPM,Triple Flag Precious Metals Corp.,3.31B,1.80%,164830,246.52M
BVN,Compañía de Minas Buenaventura S.A.A.,3.30B,0.23%,1106716,1.11B
BTG,B2Gold Corp.,3.28B,3.33%,25660603,1.91B
WDFC,WD-40 Company,3.24B,2.12%,91437,603.64M
SXT,Sensient Technologies Corporation,3.22B,1.78%,109656,1.53B
OLN,Olin Corporation,3.21B,-0.11%,1880111,6.54B
USLM,"United States Lime & Minerals, Inc.",3.20B,1.67%,162959,317.72M
EGO,Eldorado Gold Corporation,3.17B,2.04%,2374435,1.19B
SLVM,Sylvamo Corporation,3.15B,-1.21%,171719,3.77B
ASH,Ashland Inc.,3.04B,5.83%,784300,2.05B
EQX,Equinox Gold Corp.,3.01B,0.61%,9565835,1.24B
SSL,Sasol Limited,2.97B,0.84%,1186839,15.07B
SBSW,Sibanye Stillwater Limited,2.87B,3.59%,9261451,5.93B
IOSP,Innospec Inc.,2.86B,2.98%,129595,1.87B
HUN,Huntsman Corporation,2.86B,2.17%,1750501,5.99B
CC,The Chemours Company,2.80B,3.77%,855931,5.75B
HCC,"Warrior Met Coal, Inc.",2.77B,2.36%,419599,1.59B
CDE,"Coeur Mining, Inc.",2.76B,2.06%,18569285,1.01B
KWR,Quaker Chemical Corporation,2.45B,2.46%,104632,1.86B
HWKN,"Hawkins, Inc.",2.43B,3.08%,166960,952.13M
MTX,Minerals Technologies Inc.,2.42B,0.85%,140930,2.12B
AMR,"Alpha Metallurgical Resources, Inc.",2.41B,2.85%,133212,3.30B
NGD,New Gold Inc.,2.39B,4.84%,17518633,861.50M
ORLA,Orla Mining Ltd.,2.09B,4.67%,541774,314.10M
SID,Companhia Siderúrgica Nacional,2.08B,0.63%,1769798,8.02B
MTRN,Materion Corporation,2.07B,1.80%,69706,1.67B
AG,First Majestic Silver Corp.,1.86B,7.88%,24920493,525.21M
BAK,Braskem S.A.,1.85B,5.61%,1231621,13.76B
SAND,Sandstorm Gold Ltd.,1.82B,2.00%,6930914,173.38M
PRM,"Perimeter Solutions, Inc.",1.77B,1.17%,657028,534.19M
CENX,Century Aluminum Company,1.71B,1.65%,890573,2.10B
MAG,MAG Silver Corp.,1.66B,1.00%,606381,-
SSRM,SSR Mining Inc.,1.66B,1.87%,2173539,1.10B
SILV,SilverCrest Metals Inc.,1.65B,2.40%,2389296,278.08M
TROX,Tronox Holdings plc,1.63B,5.18%,1074979,3.08B
FSM,Fortuna Mining Corp.,1.63B,1.17%,17171217,1.03B
NGVT,Ingevity Corporation,1.63B,2.87%,155459,1.48B
CSTM,Constellium SE,1.43B,2.09%,529503,7.56B
ERO,Ero Copper Corp.,1.43B,3.98%,296155,464.13M
WS,"Worthington Steel, Inc.",1.43B,-0.25%,175393,3.29B
LOMA,Loma Negra Compañía Industrial Argentina Sociedad Anónima,1.42B,2.02%,319135,265.54M
SCL,Stepan Company,1.40B,2.04%,106636,2.19B
CGAU,Centerra Gold Inc.,1.39B,3.77%,795260,1.25B
SGML,Sigma Lithium Corporation,1.26B,9.92%,841729,142.75M
SA,Seabridge Gold Inc.,1.16B,1.12%,426186,-
KALU,Kaiser Aluminum Corporation,1.12B,1.37%,68569,2.98B
SKE,Skeena Resources Limited,1.10B,3.63%,334031,-
KRO,"Kronos Worldwide, Inc.",1.10B,1.38%,81183,1.86B
NG,NovaGold Resources Inc.,1.08B,0.63%,1332030,-
EXK,Endeavour Silver Corp.,1.07B,2.78%,13794530,225.93M
DRD,DRDGOLD Limited,932.14M,2.37%,230052,341.81M
ECVT,Ecovyst Inc.,922.76M,2.86%,414762,695.34M
ASTL,Algoma Steel Group Inc.,879.24M,3.19%,564159,1.84B
PPTA,Perpetua Resources Corp.,875.80M,5.86%,1132320,-
WLKP,Westlake Chemical Partners LP,875.33M,1.39%,54138,1.14B
UAN,"CVR Partners, LP",866.71M,1.37%,16412,527.39M
IPX,IperionX Limited,849.74M,0.94%,38204,-
ASIX,AdvanSix Inc.,828.66M,1.51%,91246,1.57B
SXC,"SunCoke Energy, Inc.",816.53M,0.73%,731458,1.94B
NEXA,Nexa Resources S.A.,815.82M,0.49%,9259,2.66B
OEC,Orion S.A.,809.81M,3.85%,336909,1.91B
CRML,Critical Metals Corp.,766.52M,9.17%,86363,117.66K
REX,REX American Resources Corporation,740.98M,2.08%,95449,671.88M
IE,Ivanhoe Electric Inc.,734.78M,2.52%,488445,3.24M
GSM,Ferroglobe PLC,730.87M,1.04%,422138,1.65B
SVM,Silvercorp Metals Inc.,715.74M,4.13%,5263691,241.36M
LAC,Lithium Americas Corp.,663.52M,6.62%,4454786,-
ARMN,Aris Mining Corporation,633.86M,2.75%,457734,484.51M
MTUS,Metallus Inc.,626.37M,2.29%,246351,1.17B
VZLA,Vizsla Silver Corp.,622.76M,6.80%,2254519,-
ODC,Oil-Dri Corporation of America,621.58M,1.48%,21412,454.09M
LXU,"LSB Industries, Inc.",608.78M,3.41%,199798,520.11M
KOP,Koppers Holdings Inc.,598.14M,2.97%,99214,2.13B
TMC,TMC the metals company Inc.,591.25M,-2.81%,5633055,-
TGB,Taseko Mines Limited,589.27M,6.01%,2111155,439.68M
VHI,"Valhi, Inc.",586.27M,1.57%,6369,2.08B
SLSR,Solaris Resources Inc.,565.08M,-,-,-
GPRE,Green Plains Inc.,561.82M,0.70%,806145,2.59B
METC,"Ramaco Resources, Inc.",525.26M,5.40%,381125,698.13M
LVRO,Lavoro Limited,521.76M,1.13%,4722,1.67B
METCB,"Ramaco Resources, Inc.",518.10M,2.92%,35056,698.13M
CLW,Clearwater Paper Corporation,506.97M,-0.84%,229563,2.21B
RYAM,Rayonier Advanced Materials Inc.,504.26M,-0.65%,702991,1.63B
MATV,"Mativ Holdings, Inc.",503.15M,2.09%,310742,1.97B
CMP,"Compass Minerals International, Inc.",496.34M,4.18%,437543,1.12B
CPAC,Cementos Pacasmayo S.A.A.,488.31M,1.72%,4142,527.80M
LZM,Lifezone Metals Limited,470.80M,0.87%,61282,1.02M
MUX,McEwen Mining Inc.,458.34M,2.85%,450847,199.63M
KBSX,FST Corp.,447.55M,4.65%,7597,33.94M
MERC,Mercer International Inc.,445.22M,1.68%,105066,2.03B
GEVO,"Gevo, Inc.",430.01M,6.29%,6696062,15.59M
BIOX,Bioceres Crop Solutions Corp.,429.91M,4.43%,115578,441.27M
CNL,Collective Mining Ltd.,420.62M,4.56%,7811,-
ASPI,ASP Isotopes Inc.,420.13M,2.35%,1899063,3.38M
LAR,Lithium Argentina AG,416.23M,4.45%,672895,-
ZEUS,"Olympic Steel, Inc.",388.30M,2.86%,46793,2.01B
NAK,Northern Dynasty Minerals Ltd.,379.37M,6.09%,4389966,-
NFGC,New Found Gold Corp.,341.78M,5.42%,279211,-
RDUS,"Radius Recycling, Inc.",340.96M,1.85%,206001,2.72B
IPI,"Intrepid Potash, Inc.",329.55M,0.90%,122934,206.36M
MSB,Mesabi Trust,324.59M,2.44%,58817,26.79M
NMG,Nouveau Monde Graphite Inc.,321.18M,9.84%,54655,-
USAS,Americas Gold and Silver Corporation,306.73M,0.58%,1110942,97.12M
GAU,Galiano Gold Inc.,301.67M,1.75%,449684,166.79M
SLI,Standard Lithium Ltd.,295.83M,4.03%,1083601,-
MTA,Metalla Royalty & Streaming Ltd.,280.38M,5.19%,468848,5.05M
NEWP,New Pacific Metals Corp.,275.05M,7.63%,184639,-
IONR,ioneer Ltd,265.30M,2.78%,10689,-
HDSN,"Hudson Technologies, Inc.",256.28M,-1.05%,240767,247.33M
IAUX,i-80 Gold Corp.,248.22M,2.31%,2491973,52.94M
DC,Dakota Gold Corp.,229.47M,5.65%,293877,-
GROY,Gold Royalty Corp.,228.57M,1.50%,848080,7.76M
FF,FutureFuel Corp.,222.75M,3.46%,268369,273.84M
TMQ,Trilogy Metals Inc.,213.59M,2.27%,314713,-
LWLG,"Lightwave Logic, Inc.",212.93M,1.16%,602466,113.19K
WRN,Western Copper and Gold Corporation,209.08M,4.95%,208241,-
ODV,Osisko Development Corp.,206.06M,-,234432,8.49M
EMX,EMX Royalty Corporation,202.96M,2.25%,224607,26.82M
SMID,Smith-Midland Corporation,200.69M,1.47%,8142,76.37M
UAMY,United States Antimony Corporation,200.61M,10.12%,2413120,10.22M
CMCL,Caledonia Mining Corporation Plc,189.84M,3.89%,56566,165.35M
ASM,Avino Silver & Gold Mines Ltd.,188.87M,5.47%,1781709,54.33M
ITRG,Integra Resources Corp.,186.04M,5.66%,449437,-
IDR,"Idaho Strategic Resources, Inc.",185.79M,6.58%,313638,21.96M
AVD,American Vanguard Corporation,180.50M,3.13%,179050,553.84M
PLL,Piedmont Lithium Inc.,178.44M,5.56%,222840,46.98M
GRO,Brazil Potash Corp.,174.44M,-2.99%,208682,-
IZTC,"Invizyne Technologies, Inc.",166.75M,-7.06%,38017,-700.00
GLDG,GoldMining Inc.,159.21M,3.29%,439149,-
TSE,Trinseo PLC,155.06M,10.89%,270629,3.53B
ORGN,"Origin Materials, Inc.",137.33M,0.65%,1360001,35.12M
LGO,Largo Inc.,137.03M,13.83%,1347806,144.82M
PLG,Platinum Group Metals Ltd.,133.47M,3.97%,414836,-
USGO,U.S. GoldMining Inc.,132.78M,-2.29%,174643,-
CTGO,"Contango Ore, Inc.",132.19M,1.22%,118962,-
ABAT,American Battery Technology Company,127.13M,2.63%,1757947,545.46K
CMT,"Core Molding Technologies, Inc.",123.96M,1.13%,20129,313.66M
VOXR,Vox Royalty Corp.,121.21M,3.48%,63811,11.15M
ALTO,"Alto Ingredients, Inc.",120.72M,0.32%,276640,1.00B
ACNT,Ascent Industries Co.,113.24M,-2.00%,53983,178.42M
FRD,"Friedman Industries, Incorporated",111.88M,4.97%,17719,469.52M
NTIC,Northern Technologies International Corporation,109.95M,-1.11%,12832,86.22M
NB,NioCorp Developments Ltd.,108.83M,9.40%,1452503,-
USAU,U.S. Gold Corp.,107.46M,10.94%,361164,-
THM,International Tower Hill Mines Ltd.,97.64M,12.77%,248241,-
HLP,Hongli Group Inc.,95.10M,-1.15%,172,14.05M
TRX,TRX Gold Corporation,94.11M,4.97%,609820,44.28M
ATLX,Atlas Lithium Corporation,90.49M,-0.84%,88117,543.66K
LODE,Comstock Inc.,82.10M,2.90%,7509189,1.86M
VGZ,Vista Gold Corp.,78.83M,1.15%,199737,-
FSI,"Flexible Solutions International, Inc.",78.10M,4.33%,75772,38.49M
FURY,Fury Gold Mines Limited,62.44M,5.98%,165620,-
HYMC,Hycroft Mining Holding Corporation,60.15M,1.25%,172483,-
NVA,Nova Minerals Limited,58.42M,-5.75%,51157,-
WWR,"Westwater Resources, Inc.",56.26M,-2.50%,1440005,-
LOOP,"Loop Industries, Inc.",54.76M,-7.26%,51105,126.00K
XPL,Solitario Resources Corp.,54.56M,2.17%,17106,-
AREC,American Resources Corporation,51.46M,-2.25%,427227,399.96K
GTI,Graphjet Technology,47.89M,4.77%,3014524,-
LITM,Snow Lake Resources Ltd.,45.81M,16.63%,45016883,-
GORO,Gold Resource Corporation,32.30M,-4.79%,1817984,73.90M
CAPT,Captivision Inc.,32.10M,139.18%,243600601,17.39M
PZG,Paramount Gold Nevada Corp.,25.65M,-,76356,-
FEAM,"5E Advanced Materials, Inc.",25.17M,0.63%,95037,-
ELBM,Electra Battery Materials Corporation,23.37M,7.53%,37683,-
HUDI,"Huadi International Group Co., Ltd.",22.13M,1.31%,7978,74.27M
NWGL,Nature Wood Group Limited,21.68M,-,111,21.71M
AUST,Austin Gold Corp.,19.11M,-3.85%,200778,-
ENFY,Enlightify Inc.,18.86M,-7.61%,15320,90.81M
RETO,"ReTo Eco-Solutions, Inc.",16.66M,-0.34%,25569,3.84M
JCTC,Jewett-Cameron Trading Company Ltd.,16.32M,-2.32%,202,46.61M
INHD,Inno Holdings Inc.,16.21M,-1.07%,4748,885.50K
SEED,Origin Agritech Limited,15.23M,-0.41%,17323,16.52M
OMEX,"Odyssey Marine Exploration, Inc.",15.08M,1.31%,263840,799.14K
ZKIN,"ZK International Group Co., Ltd.",13.79M,-9.80%,44900,108.20M
BHIL,"Benson Hill, Inc.",13.33M,-,249735,466.73M
NITO,"N2OFF, Inc.",12.78M,-10.40%,1221383,175.31K
FMST,Foremost Clean Energy Ltd.,9.69M,-11.61%,130830,-
GURE,"Gulf Resources, Inc.",7.29M,7.99%,37428,12.80M
BGLC,BioNexus Gene Lab Corp.,7.24M,0.25%,68446,9.26M
GRFX,Graphex Group Limited,6.63M,-0.87%,84774,30.02M
BON,Bon Natural Life Limited,5.38M,8.40%,13401,23.84M
ITP,"IT Tech Packaging, Inc.",3.22M,-3.03%,39945,79.16M
SNES,"SenesTech, Inc.",3.13M,8.60%,726635,1.65M
CRKN,Crown Electrokinetics Corp.,2.78M,-,442640,13.46M
CNEY,CN Energy Group. Inc.,1.99M,3.55%,1559449,66.51M
